Clause Type,Original Text,Summary,Risk Level,Risk Reasons
Non-Disclosure and Student Participation Agreement,"NON-DISCLOSURE & STUDENT PARTICIPATION AGREEMENT This Agreement is entered into on this ___ day of ______, 2025 by and between: One to Infinity Solutions Private Limited (brand: Syncner), a company registered under the Companies Act, 2013 with its office at 5/391,",This agreement outlines confidentiality obligations and likely governs student participation in a program or project run by One to Infinity Solutions.  It's incomplete as provided.,none,
Non-Disclosure and Student Participation Agreement,"NON-DISCLOSURE & STUDENT PARTICIPATION AGREEMENT This Agreement is entered into on this ___ day of ______, 2025 by and between: One to Infinity Solutions Private Limited (brand: Syncner), a company registered under the Companies Act, 2013 with its office at 5/391, Vivekanandhar 2nd",This agreement outlines confidentiality obligations and likely governs student participation in a program run by One to Infinity Solutions.  It's incomplete as provided.,none,
Participation and Responsibility,1. PROGRAM PARTICIPATION & RESPONSIBILITY 1.1,This clause outlines the requirements and responsibilities for program participation.  It likely details participant obligations and potential liabilities.,none,
Student Enrollment and Program Description,ESPONSIBILITY 1.1 The Student is enrolled in Syncner’s Skill Training Program comprising five phases: ●​ Phase 1: Conceptual Learning (35–40 days)​ ●​ Phase 2: Capstone Project (10–15 days)​ ●​ Phase 3: Work Simulation (70 days)​ ●​ Phase 4: Internship (60+ days)​ ●​ Phase 5: Placement Preparation ( 20–30 days)​ 1.2,"This clause outlines Syncner's Skill Training Program, detailing its five phases and their durations.  The program's length is variable depending on the duration of each phase.",none,
Completion and Progression Requirements,"teed placement initiative.​ 1.3 Students are expected to progress at their own pace, meet deliverables, and demonstrate satisfactory performance for advancement.​ 1.4 A Certificate of Completion will be awarded only upon successful approval in all mandatory phases.","Students must complete all phases satisfactorily to receive a certificate.  Progress is self-paced, but deliverables and performance standards must be met.",none,
Confidentiality and Intellectual Property,"2. CONFIDENTIALITY & INTELLECTUAL PROPERTY (IP) 2.1 All training materials, curated content, syllabus, and internal documentation shared in Phase 1 or beyond are the exclusive property of the Company.​ 2.2",All training materials and related content remain the Company's exclusive property.  This grants the Company significant control over the information shared.,high,Contains 'exclusive'
Confidentiality and Intellectual Property,"2. CONFIDENTIALITY & INTELLECTUAL PROPERTY (IP) 2.1 All training materials, curated content, syllabus, and internal documentation shared in Phase 1 or beyond are the exclusive property of the Company.​ 2.2",All training materials and related content provided by the Company remain its exclusive property.  Unauthorized use or disclosure is prohibited.,high,Contains 'exclusive'
Confidentiality and Intellectual Property,"2. CONFIDENTIALITY & INTELLECTUAL PROPERTY (IP) 2.1 All training materials, curated content, syllabus, and internal documentation shared in Phase 1 or beyond are the exclusive property of the Company.​ 2.2",All training materials and related documents provided by the Company remain its exclusive property.  Unauthorized use or disclosure is prohibited.,high,Contains 'exclusive'
Confidentiality and Intellectual Property,"py, share, publish, or reuse any internal documents, training files, or Phase 3/4 client project assets without express written permission.​ 2.3 Phase-wise publishing rules: ●​ Phase 1 & 2: Portfolio/public sharing allowed.​ ●​ Phase 3 & 4: Strictly Confidential — may not be posted, reused, or discussed publicly (including on GitHub, LinkedIn, Behance, blogs, or forums).​ 2.4 The Student must ensure all files received, created, or accessed through the program are deleted from personal devices upon exit or c","This clause restricts the use and sharing of internal documents and client project assets, particularly during Phases 3 and 4, requiring explicit written permission for any reuse.  Phases 1 and 2 allow for more public sharing, but this changes significantly later.",none,
Employment Terms,"3. ATTENDANCE, LEAVES, EXIT COMPENSATION & PENALTIES 3.1","This section covers employee attendance, leave policies, exit compensation, and potential penalties.  It likely outlines rules for absences, vacation time, termination processes and associated payments or sanctions.",high,Contains 'compensation'
Attendance and Leave Policy,"During Phase 3 (Work Simulation) and Phase 4 (Internship): ●​ Students must adhere to assigned schedules (5–6 days/week).​ ●​ Maximum allowed leave: 1 casual + 1 sick leave/month.​ ●​ More than 2 uninformed leaves or 3+ total leaves in a month may lead to termination with a ₹75,000 compensation.​ 3.2 In c",Students in Phases 3 and 4 (Work Simulation and Internship) must maintain a strict 5-6 day work schedule with limited leave.  Excessive absences may result in termination and a significant financial penalty for the student.,high,Contains 'compensation'; Contains 'termination'
Attendance and Leave Policy,"During Phase 3 (Work Simulation) and Phase 4 (Internship): ●​ Students must adhere to assigned schedules (5–6 days/week).​ ●​ Maximum allowed leave: 1 casual + 1 sick leave/month.​ ●​ More than 2 uninformed leaves or 3+ total leaves in a month may lead to termination with a ₹75,000 compensation.​ 3.2",Students in Phases 3 and 4 (Work Simulation and Internship) must maintain a strict 5-6 day work schedule with limited leave.  Excessive absences can result in termination and a significant financial penalty.,high,Contains 'compensation'; Contains 'termination'
Attendance and Leave Policy,"Phase 3 (Work Simulation) and Phase 4 (Internship): ●​ Students must adhere to assigned schedules (5–6 days/week).​ ●​ Maximum allowed leave: 1 casual + 1 sick leave/month.​ ●​ More than 2 uninformed leaves or 3+ total leaves in a month may lead to termination with a ₹75,000 compensation.​ 3.2",Students in Phases 3 and 4 (Work Simulation and Internship) must maintain a strict 5-6 day work schedule with limited leave.  Excessive absences may result in termination and a significant financial penalty.,high,Contains 'compensation'; Contains 'termination'
